कंप्यूटरगेम	कंप्यूटर+गेम
जीपयात्रा	जीप+यात्रा
जमीनविवाद	जमीन+विवाद
यात्राउद्योग	यात्रा+उद्योग
ब्राह्मणीचील	ब्राह्मणी+चील
पश्चिमजावा	पश्चिम+जावा
किसानमहापंचायत	किसान+महापंचायत
भारतसरकार	भारत+सरकार
निजामाबादजिलों	निजामाबाद+जिलों
मध्यप्रदेशराज्य	मध्यप्रदेश+राज्य
संरक्षणएजेंसी	संरक्षण+एजेंसी
ज़िलामुख्यालय	ज़िला+मुख्यालय
सब्जीबाजार	सब्जी+बाजार
नृत्यसंगीत	नृत्य+संगीत
गैसकंपनियों	गैस+कंपनियों
पुलिसकमिश्नर	पुलिस+कमिश्नर
गुफामन्दिरों	गुफा+मन्दिरों
कालेपानी	काले+पानी
बिक्रीकेंद्रों	बिक्री+केंद्रों
बुनाईकेन्द्र	बुनाई+केन्द्र
प्रतिनिधिसंस्थाएँ	प्रतिनिधि+संस्थाएँ
आमंत्रणपत्र	आमंत्रण+पत्र
तेलउत्पादक	तेल+उत्पादक
कृषिकेन्द्र	कृषि+केन्द्र
शोधसमिति	शोध+समिति
सुरक्षाकर्मियों	सुरक्षा+कर्मियों
सहायतासामग्री	सहायता+सामग्री
सीडीबाजार	सीडी+बाजार
चित्रकारीविद्यालयों	चित्रकारी+विद्यालयों
चित्रगुप्तमंदिर	चित्रगुप्त+मंदिर
चित्रकलाओं	चित्र+कलाओं
परमाणुबिजलीघर	परमाणु+बिजलीघर
प्रशिक्षणकार्यक्रम	प्रशिक्षण+कार्यक्रम
पाचनतंत्र	पाचन+तंत्र
अंतरिक्षअनुसंधान	अंतरिक्ष+अनुसंधान
चेतावनीतंत्र	चेतावनी+तंत्र
जलजीवशाला	जल+जीवशाला
तांडवनृत्य	तांडव+नृत्य
यूपीसरकार	यूपी+सरकार
उड़ीसासरकार	उड़ीसा+सरकार
सूर्यभगवान	सूर्य+भगवान
सिंधुघाटी	सिंधु+घाटी
सांख्यिकीविभाग	सांख्यिकी+विभाग
अस्थिविसर्जन	अस्थि+विसर्जन
संचारप्रणाली	संचार+प्रणाली
पालकपनीर	पालक+पनीर
चीनसागर	चीन+सागर
शब्दकोष	शब्द+कोष
आदिनाथमंदिर	आदिनाथ+मंदिर
तीस्तानदी	तीस्ता+नदी
नेहरूस्मारक	नेहरू+स्मारक
रेलस्टेशन	रेल+स्टेशन
स्तनट्यूमर	स्तन+ट्यूमर
सिखसमाज	सिख+समाज
तवांगजिले	तवांग+जिले
इंडोनेशियागणराज्य	इंडोनेशिया+गणराज्य
चाचाचाचियों	चाचा+चाचियों
साजोंसामान	साजों+सामान
वियतनामयुद्ध	वियतनाम+युद्ध
माओवादीसरकार	माओवादी+सरकार
आँधीतूफ़ान	आँधी+तूफ़ान
गणतंत्रदिवस	गणतंत्र+दिवस
मुगलकाल	मुगल+काल
सतलुजनदी	सतलुज+नदी
तीर्थ_यात्राकेंद्र	तीर्थ_यात्रा+केंद्र
पुलिसस्टेशन	पुलिस+स्टेशन
संसदसदस्य	संसद+सदस्य
राजामहाराजा	राजा+महाराजा
खजुराहोमंदिर	खजुराहो+मंदिर
कर्मचारीगण	कर्मचारी+गण
बसड्राइवर	बस+ड्राइवर
वृन्दावनमंदिर	वृन्दावन+मंदिर
सेमीफाइनलमैच	सेमीफाइनल+मैच
परिवारनियोजन	परिवार+नियोजन
मांसमछली	मांस+मछली
सीमांतप्रदेश	सीमांत+प्रदेश
पुलिसमहकमा	पुलिस+महकमा
असमराज्य	असम+राज्य
पूर्वीवाशिंगटन	पूर्वी+वाशिंगटन
मध्ययुग	मध्य+युग
जलस्तर	जल+स्तर
शिक्षाबजट	शिक्षा+बजट
सोमेश्वरमंदिर	सोमेश्वर+मंदिर
पेट्रोलियममंत्रालय	पेट्रोलियम+मंत्रालय
दिल्लीसरकार	दिल्ली+सरकार
उदयपुरजिले	उदयपुर+जिले
यकृतकैंसर	यकृत+कैंसर
विवरणपुस्तिका	विवरण+पुस्तिका
राज्यप्रशासन	राज्य+प्रशासन
श्वेतजनसंख्या	श्वेत+जनसंख्या
क्रिकेटखेलते	क्रिकेट+खेलते
ड्रोनप्लेन	ड्रोन+प्लेन
थाररेगिस्तान	थार+रेगिस्तान
बचतयोजना	बचत+योजना
स्वास्थ्यमंत्रियों	स्वास्थ्य+मंत्रियों
गणेशउत्सव	गणेश+उत्सव
शिमलाविमानतल	शिमला+विमानतल
सिरदर्द	सिर+दर्द
आप्रवासनप्राधिकारों	आप्रवासन+प्राधिकारों
स्वास्थ्यपर्यटन	स्वास्थ्य+पर्यटन
नर्मदाघाट	नर्मदा+घाट
गरबानृत्यों	गरबा+नृत्यों
यात्राकंपनी	यात्रा+कंपनी
गोमांसकबाब	गोमांस+कबाब
राजस्थानपर्यटन	राजस्थान+पर्यटन
पारसीभोजन	पारसी+भोजन
दूरसंचारसेवा	दूरसंचार+सेवा
दिल्लीहवाईअड्डे	दिल्ली+हवाईअड्डे
ब्रजभूमि	ब्रज+भूमि
पोलोमैदान	पोलो+मैदान
जनसमुदाय	जन+समुदाय
वनस्पतिविज्ञानउद्यान	वनस्पतिविज्ञान+उद्यान
हिरनउद्यान	हिरन+उद्यान
राज्यविधान_सभा	राज्य+विधान_सभा
सुरक्षासाधनों	सुरक्षा+साधनों
अरुणाचलविश्वविद्यालय	अरुणाचल+विश्वविद्यालय
पुलिसमुख्यालय	पुलिस+मुख्यालय
मार्केटस्टडी	मार्केट+स्टडी
सीमांतक्षेत्रों	सीमांत+क्षेत्रों
यातायातदस्तावेज	यातायात+दस्तावेज
शेयरबाज़ार	शेयर+बाज़ार
बैंकरेट	बैंक+रेट
समुद्रस्तर	समुद्र+स्तर
रिसर्चसेंटर	रिसर्च+सेंटर
क्रांतिकारीयुद्ध	क्रांतिकारी+युद्ध
विवाहसमारोह	विवाह+समारोह
अनुसंधानदल	अनुसंधान+दल
स्पंदनदर	स्पंदन+दर
मोटरइंश्योरेंस	मोटर+इंश्योरेंस
पिकनिकस्थान	पिकनिक+स्थान
साइबरअपराध	साइबर+अपराध
वाल्मीकिरामायण	वाल्मीकि+रामायण
कम्प्यूटरविशेषज्ञ	कम्प्यूटर+विशेषज्ञ
रेलवेस्टेशनों	रेलवे+स्टेशनों
जूनागढ़किला	जूनागढ़+किला
लखनऊखंडपीठ	लखनऊ+खंडपीठ
पर्यटककेंद्र	पर्यटक+केंद्र
आईटीकंपनियों	आईटी+कंपनियों
बौद्धसमुदायों	बौद्ध+समुदायों
जयपुरसंगमरमर	जयपुर+संगमरमर
सूचनाअधिकारी	सूचना+अधिकारी
स्नानकुंड	स्नान+कुंड
जलमुर्गियों	जल+मुर्गियों
श्वासरोग	श्वास+रोग
लेज़रकिरणों	लेज़र+किरणों
रसोई_गैससिलेंडर	रसोई_गैस+सिलेंडर
गंतव्यस्थलों	गंतव्य+स्थलों
बचावपक्ष	बचाव+पक्ष
सौंदर्यसामग्री	सौंदर्य+सामग्री
नदीब्रह्मपुत्र	नदी+ब्रह्मपुत्र
देवीचंडिका	देवी+चंडिका
स्वास्थ्यसुविधाओं	स्वास्थ्य+सुविधाओं
परमाणुसमझौते	परमाणु+समझौते
शिमलाजिले	शिमला+जिले
कृषिमहाविद्यालय	कृषि+महाविद्यालय
प्रतिनिधिमण्डल	प्रतिनिधि+मण्डल
बजटघाटे	बजट+घाटे
सरहदीप्रांत	सरहदी+प्रांत
पुलिसमहानिरीक्षक	पुलिस+महानिरीक्षक
टेलिविजनसीरीज	टेलिविजन+सीरीज
यात्रीनिवास	यात्री+निवास
पशुसमूहों	पशु+समूहों
तंत्रिकातंत्र	तंत्रिका+तंत्र
लसीकाग्रंथियाँ	लसीका+ग्रंथियाँ
मुंबईपुलिस	मुंबई+पुलिस
कार्यस्थल	कार्य+स्थल
जीवअभ्यारण्य	जीव+अभ्यारण्य
दिल्लीसल्तनत	दिल्ली+सल्तनत
चीनसमुद्र	चीन+समुद्र
ट्रैफिकपुलिसवाला	ट्रैफिक+पुलिसवाला
परमाणुविशेषज्ञ	परमाणु+विशेषज्ञ
पर्यटनस्थल	पर्यटन+स्थल
नीलगिरिपठार	नीलगिरि+पठार
आयुवर्गों	आयु+वर्गों
राज्यपालनिवास	राज्यपाल+निवास
रेलकर्मचारियों	रेल+कर्मचारियों
अजमेरदरगाह	अजमेर+दरगाह
इंटरनेटसुरक्षा	इंटरनेट+सुरक्षा
त्रिपोलीहवाईअड्डे	त्रिपोली+हवाईअड्डे
विकासपरियोजनाओं	विकास+परियोजनाओं
कैन्सरसंस्थान	कैन्सर+संस्थान
सलाहमशविरा	सलाह+मशविरा
सरीसृपजन्तुओं	सरीसृप+जन्तुओं
पुरातत्वसर्वेक्षण	पुरातत्व+सर्वेक्षण
नागरिकसरकार	नागरिक+सरकार
मारवाड़राज्य	मारवाड़+राज्य
दिल्लीउच्च_न्यायालय	दिल्ली+उच्च_न्यायालय
प्याजकचौरी	प्याज+कचौरी
पबसभ्यता	पब+सभ्यता
शिशुपरियोजना	शिशु+परियोजना
बसस्टेशन	बस+स्टेशन
दूरसंचारमंत्री	दूरसंचार+मंत्री
हृदयरोगसंस्थानों	हृदयरोग+संस्थानों
स्वास्थ्यसेविका	स्वास्थ्य+सेविका
पर्यावरणयात्रा	पर्यावरण+यात्रा
पूँजीनिवेश	पूँजी+निवेश
वनस्पतिजीवन	वनस्पति+जीवन
यमुनापुल	यमुना+पुल
उत्खननस्थल	उत्खनन+स्थल
जगन्नाथभगवान	जगन्नाथ+भगवान
साइबेरियासारस	साइबेरिया+सारस
साइंसपत्रिका	साइंस+पत्रिका
नालंदाविश्वविद्यालय	नालंदा+विश्वविद्यालय
आलूबुखाराकेक	आलूबुखारा+केक
स्वागतकक्ष	स्वागत+कक्ष
पार्टीमहासचिव	पार्टी+महासचिव
पुनर्गठनअधिनियम	पुनर्गठन+अधिनियम
शयनकक्ष	शयन+कक्ष
इंटरनेटव्यवस्था	इंटरनेट+व्यवस्था
अभ्यासशिविर	अभ्यास+शिविर
इंदौरजिले	इंदौर+जिले
लातेहारजिले	लातेहार+जिले
पर्यटकबंगले	पर्यटक+बंगले
स्वतंत्रताआन्दोलन	स्वतंत्रता+आन्दोलन
हस्तशिल्पभवन	हस्तशिल्प+भवन
राहतशिविर	राहत+शिविर
बैंककर्मचारियों	बैंक+कर्मचारियों
द्विजजातियां	द्विज+जातियां
जंतुसमूह	जंतु+समूह
हस्तशिल्पकेंद्र	हस्तशिल्प+केंद्र
प्याजफसल	प्याज+फसल
अर्जनदेव	अर्जन+देव
युद्धअपराधों	युद्ध+अपराधों
विश्वचैंपियन	विश्व+चैंपियन
महारानीरीजेंट	महारानी+रीजेंट
देवदारवृक्ष	देवदार+वृक्ष
शिक्षणसंस्थान	शिक्षण+संस्थान
शोधविभाग	शोध+विभाग
व्यायामकार्यक्रम	व्यायाम+कार्यक्रम
कार्यकारिणीदलों	कार्यकारिणी+दलों
पुरुषयुगल	पुरुष+युगल
भारतपर्यटन	भारत+पर्यटन
स्वास्थ्यअधिकारियों	स्वास्थ्य+अधिकारियों
न्यूयॉर्कशहर	न्यूयॉर्क+शहर
संघपरिवार	संघ+परिवार
जन्मभूमि	जन्म+भूमि
पार्कहोटल	पार्क+होटल
पहाड़ीप्रदेश	पहाड़ी+प्रदेश
इलाहाबादविश्वविद्यालय	इलाहाबाद+विश्वविद्यालय
तेलबाज़ार	तेल+बाज़ार
मध्यहिमालय	मध्य+हिमालय
चिकित्साकक्षों	चिकित्सा+कक्षों
सफारीउपवन	सफारी+उपवन
जिलापरिषद	जिला+परिषद
सूचकपत्र	सूचक+पत्र
उपासनागृह	उपासना+गृह
विज्ञानप्रयोगशाला	विज्ञान+प्रयोगशाला
वर्ल्डचैम्पियन	वर्ल्ड+चैम्पियन
अरबजगत	अरब+जगत
स्पंददर	स्पंद+दर
उन्मूलनकार्यक्रम	उन्मूलन+कार्यक्रम
मिलिट्रीटेक्नॉलजी	मिलिट्री+टेक्नॉलजी
आरबीआईबैंकों	आरबीआई+बैंकों
यूनानसरकार	यूनान+सरकार
विज्ञानकेंद्र	विज्ञान+केंद्र
सिखगुरु	सिख+गुरु
राजाहर्ष	राजा+हर्ष
दहीकचौरी	दही+कचौरी
युगलक्वार्टर_फाइनल	युगल+क्वार्टर_फाइनल
संस्कृतिमंत्री	संस्कृति+मंत्री
इंटरनेटसर्फिंग	इंटरनेट+सर्फिंग
ज्वारभाटे	ज्वार+भाटे
अजमेररेलवे_स्टेशन	अजमेर+रेलवे_स्टेशन
उत्तरीआयरलैंड	उत्तरी+आयरलैंड
मैसूरचिड़ियाघर	मैसूर+चिड़ियाघर
हीराकारोबारियों	हीरा+कारोबारियों
विमानअपहरण	विमान+अपहरण
विमाननकंपनी	विमानन+कंपनी
इंटरनेटसिक्युरिटी	इंटरनेट+सिक्युरिटी
सेवाकर	सेवा+कर
राज्यपुलिस	राज्य+पुलिस
समापनसमारोह	समापन+समारोह
तेलभंडार	तेल+भंडार
रहवासीक्षेत्र	रहवासी+क्षेत्र
जलरोमांच	जल+रोमांच
गोदावरीनदी	गोदावरी+नदी
लोककला	लोक+कला
स्वास्थ्यहस्तक्षेप	स्वास्थ्य+हस्तक्षेप
हनोईशहर	हनोई+शहर
विषयवासना	विषय+वासना
सुरक्षासंस्था	सुरक्षा+संस्था
यातनाशिविर	यातना+शिविर
मथुराजिले	मथुरा+जिले
धनसम्पत्ति	धन+सम्पत्ति
बुनकरकालोनी	बुनकर+कालोनी
किताबबाजार	किताब+बाजार
फेफड़ाऊतक	फेफड़ा+ऊतक
वैज्ञानिकअभियान	वैज्ञानिक+अभियान
पर्यटककेन्द्रों	पर्यटक+केन्द्रों
बादशाहऔरंगजेब	बादशाह+औरंगजेब
विधानसभासदस्यों	विधानसभा+सदस्यों
चिकित्साअनुसंधान	चिकित्सा+अनुसंधान
गाँधीआश्रम	गाँधी+आश्रम
विस्तारयोजना	विस्तार+योजना
मलपरीक्षण	मल+परीक्षण
सुरक्षाकपाटों	सुरक्षा+कपाटों
दूरसंचारक्रांति	दूरसंचार+क्रांति
विजयस्तम्भ	विजय+स्तम्भ
अग्निमन्दिर	अग्नि+मन्दिर
भारद्वाजमुनि	भारद्वाज+मुनि
बसअड्डा	बस+अड्डा
काँस्ययुग	काँस्य+युग
धनसंपदा	धन+संपदा
विमानयात्रा	विमान+यात्रा
निर्माणस्थल	निर्माण+स्थल
छात्रावाससंघ	छात्रावास+संघ
निर्वाचनअधिकारी	निर्वाचन+अधिकारी
लोक_सभाअध्यक्ष	लोक_सभा+अध्यक्ष
टाइगरमच्छर	टाइगर+मच्छर
परमाणुईंधन	परमाणु+ईंधन
जांचआयोग	जांच+आयोग
पक्षीअभयारण्य	पक्षी+अभयारण्य
हॉकीटूर्नामेंट	हॉकी+टूर्नामेंट
मिचलीउल्टी	मिचली+उल्टी
हस्तशिल्पदुकानों	हस्तशिल्प+दुकानों
मलेशियारबर	मलेशिया+रबर
सिंचाईप्रणाली	सिंचाई+प्रणाली
झारखण्डसरकार	झारखण्ड+सरकार
नासिकजिले	नासिक+जिले
साबरमतीनदी	साबरमती+नदी
चंदेलवास्तुकला	चंदेल+वास्तुकला
पर्यटनक्षेत्र	पर्यटन+क्षेत्र
सीमांतरेलवे	सीमांत+रेलवे
इंटरनेटकनेक्शन	इंटरनेट+कनेक्शन
सुरक्षाविभाग	सुरक्षा+विभाग
मीडियाजगत	मीडिया+जगत
दिल्लीहाट	दिल्ली+हाट
शहंशाहअकबर	शहंशाह+अकबर
जगमंदिर	जग+मंदिर
व्रतउपवास	व्रत+उपवास
ब्यासनदी	ब्यास+नदी
आधारशिविर	आधार+शिविर
पहाड़ीजनजातियों	पहाड़ी+जनजातियों
व्हेलमछली	व्हेल+मछली
कंधारप्रांत	कंधार+प्रांत
आयातघोटाला	आयात+घोटाला
खमेरवास्तुकला	खमेर+वास्तुकला
फिल्मउत्सव	फिल्म+उत्सव
निर्यातअधिशेष	निर्यात+अधिशेष
नीतिनिर्धारण	नीति+निर्धारण
महिलायुगल	महिला+युगल
किन्नौरजिले	किन्नौर+जिले
मानअपमान	मान+अपमान
यातायातपुलिस	यातायात+पुलिस
दरबारहाल	दरबार+हाल
जिलापीठ	जिला+पीठ
युद्धस्वामियों	युद्ध+स्वामियों
पड़ावशुल्क	पड़ाव+शुल्क
नाट्यक्लबों	नाट्य+क्लबों
मज़दूरवर्ग	मज़दूर+वर्ग
नमकआंदोलन	नमक+आंदोलन
मांसप्रोटीन	मांस+प्रोटीन
करौलीजिले	करौली+जिले
प्रसारणकाल	प्रसारण+काल
धनअर्थव्यवस्था	धन+अर्थव्यवस्था
जीपआखेट	जीप+आखेट
मटनडोसा	मटन+डोसा
मलयबाघ	मलय+बाघ
पूजाघर	पूजा+घर
न्यूजचैनल	न्यूज+चैनल
स्वतंत्रतासंग्राम	स्वतंत्रता+संग्राम
गैसआवंटन	गैस+आवंटन
क्रिकेटबोर्ड	क्रिकेट+बोर्ड
साबरमतीआश्रम	साबरमती+आश्रम
ड्रोनविमान	ड्रोन+विमान
मंदाकिनीनदी	मंदाकिनी+नदी
क्रिकेटमैदान	क्रिकेट+मैदान
सिंधसरकार	सिंध+सरकार
ओलंपिकस्टेडियम	ओलंपिक+स्टेडियम
एक्सप्रेसरेल	एक्सप्रेस+रेल
शिशुचिकित्सक	शिशु+चिकित्सक
स्वादकलिकाएँ	स्वाद+कलिकाएँ
बुकिंगदर	बुकिंग+दर
दूरसंचारनियामक	दूरसंचार+नियामक
संचारकेंद्र	संचार+केंद्र
उलटीदस्त	उलटी+दस्त
अंतरिक्षमिशन	अंतरिक्ष+मिशन
अण्डाशयकैंसर	अण्डाशय+कैंसर
परमाणुयुद्ध	परमाणु+युद्ध
रिटायरमेंटउम्र	रिटायरमेंट+उम्र
भूमिपूजा	भूमि+पूजा
भोजनहाल	भोजन+हाल
लंदनशहर	लंदन+शहर
पुनर्वासकार्यक्रम	पुनर्वास+कार्यक्रम
वाहननिर्माता	वाहन+निर्माता
गर्भाशयप्रत्यारोपण	गर्भाशय+प्रत्यारोपण
आरोपप्रत्यारोप	आरोप+प्रत्यारोप
युद्धस्तर	युद्ध+स्तर
प्लांटऑपरेटर	प्लांट+ऑपरेटर
अभिनयशैली	अभिनय+शैली
रेडियोप्रसारण	रेडियो+प्रसारण
शोधसंस्थान	शोध+संस्थान
हैदराबादशहर	हैदराबाद+शहर
परमाणुहथियार	परमाणु+हथियार
राजाजनक	राजा+जनक
भूसर्वेक्षण	भू+सर्वेक्षण
मातृमृत्यु_दर	मातृ+मृत्यु_दर
कृषिअनुसंधान	कृषि+अनुसंधान
आँतकैंसर	आँत+कैंसर
सिंगापुरनदी	सिंगापुर+नदी
यकृतकोशिकाओं	यकृत+कोशिकाओं
प्रसाधनसामग्रियों	प्रसाधन+सामग्रियों
विपक्षपार्टियों	विपक्ष+पार्टियों
पोषणविशेषज्ञ	पोषण+विशेषज्ञ
हृदयगति	हृदय+गति
भाईबहन	भाई+बहन
खाद्यउत्पादन	खाद्य+उत्पादन
देवीमन्दिर	देवी+मन्दिर
उद्यानकार्यालय	उद्यान+कार्यालय
पर्यटकआवास	पर्यटक+आवास
मुद्राबाज़ार	मुद्रा+बाज़ार
स्तनपायीप्रजातियाँ	स्तनपायी+प्रजातियाँ
सिंहासनकक्ष	सिंहासन+कक्ष
चंडीगढ़प्रशासन	चंडीगढ़+प्रशासन
व्हेलशार्क	व्हेल+शार्क
दादादादी	दादा+दादी
रेलमंत्रालय	रेल+मंत्रालय
अर्जुनवृक्षों	अर्जुन+वृक्षों
रेलपरिवहन	रेल+परिवहन
मंदिरवास्तुकला	मंदिर+वास्तुकला
आपूर्तिमंत्रालय	आपूर्ति+मंत्रालय
जन्मदिनसमारोह	जन्मदिन+समारोह
लोक_सभाचुनाव	लोक_सभा+चुनाव
मैसूरराज्य	मैसूर+राज्य
व्यवसायकेंद्र	व्यवसाय+केंद्र
बिजनेसमॉडल	बिजनेस+मॉडल
उत्पादनक्षेत्र	उत्पादन+क्षेत्र
रक्तपरीक्षण	रक्त+परीक्षण
राज्यकर्मचारी	राज्य+कर्मचारी
मानवउत्पत्ति	मानव+उत्पत्ति
सतपुड़ापहाड़ियों	सतपुड़ा+पहाड़ियों
टेलिकॉमकंपनी	टेलिकॉम+कंपनी
भूतप्रेतों	भूत+प्रेतों
वसंतमहोत्सव	वसंत+महोत्सव
पित्तवाहिकाओं	पित्त+वाहिकाओं
दूधउत्पादन	दूध+उत्पादन
यकृतवृद्धि	यकृत+वृद्धि
व्यापारसंगठन	व्यापार+संगठन
टैक्सविभाग	टैक्स+विभाग
बंबईस्टॉक_एक्सचेंज	बंबई+स्टॉक_एक्सचेंज
विद्युतआवेगों	विद्युत+आवेगों
सर्विसटैक्स	सर्विस+टैक्स
कीटवैज्ञानिक	कीट+वैज्ञानिक
टैक्सीचालक	टैक्सी+चालक
आयकरअदालत	आयकर+अदालत
दुर्गामंदिर	दुर्गा+मंदिर
संसदअध्यक्ष	संसद+अध्यक्ष
वाणिज्यदूतावास	वाणिज्य+दूतावास
सम्राटऔरंगजेब	सम्राट+औरंगजेब
रागदीपक	राग+दीपक
लखीसरायज़िले	लखीसराय+ज़िले
गैसकांड	गैस+कांड
रोमनकला	रोमन+कला
छत्रपतिशिवाजी	छत्रपति+शिवाजी
इंटरनेटकेंद्र	इंटरनेट+केंद्र
चैत्याहॉल	चैत्या+हॉल
मानसपटल	मानस+पटल
दानअधिनियम	दान+अधिनियम
हिंदूपरिषद्	हिंदू+परिषद्
खोजकर्ता	खोज+कर्ता
गुरुगोरखनाथ	गुरु+गोरखनाथ
गर्भाशयग्रीवा	गर्भाशय+ग्रीवा
वैज्ञानिकमिशन	वैज्ञानिक+मिशन
विज्ञानसंवाददाता	विज्ञान+संवाददाता
तेलखनन	तेल+खनन
संतमेरी	संत+मेरी
जीवनबीमा	जीवन+बीमा
सेनासंग्रहालय	सेना+संग्रहालय
लाहौरशहर	लाहौर+शहर
साहिबगुरुद्वारा	साहिब+गुरुद्वारा
पुलिसदिवस	पुलिस+दिवस
कलासंस्थान	कला+संस्थान
सभ्यतासंग्रहालय	सभ्यता+संग्रहालय
मैत्रीभाव	मैत्री+भाव
छत्तीसगढ़पुलिस	छत्तीसगढ़+पुलिस
बचावटीम	बचाव+टीम
सफ़ारीमार्ग	सफ़ारी+मार्ग
परिवहनव्यवस्था	परिवहन+व्यवस्था
पर्यटकसैरगाहों	पर्यटक+सैरगाहों
गोथिकशैली	गोथिक+शैली
रामकथा	राम+कथा
सुल्तानसिकंदर	सुल्तान+सिकंदर
झीलपर्यटन	झील+पर्यटन
इंडोनेशियासरकार	इंडोनेशिया+सरकार
रक्तवाहिकाओं	रक्त+वाहिकाओं
टेस्टटीम	टेस्ट+टीम
मद्रासशहर	मद्रास+शहर
पुलिसप्रशासन	पुलिस+प्रशासन
टैक्सनियमों	टैक्स+नियमों
कब्ज़दस्त	कब्ज़+दस्त
जन्मदोषों	जन्म+दोषों
अरबप्रायद्वीप	अरब+प्रायद्वीप
स्वास्थ्यकेन्द्र	स्वास्थ्य+केन्द्र
कलासंग्रहालय	कला+संग्रहालय
तमिलनाडुराज्य	तमिलनाडु+राज्य
मुस्लिमवास्तुकला	मुस्लिम+वास्तुकला
व्यंजनसूची	व्यंजन+सूची
पदकतालिका	पदक+तालिका
नारियलफेनी	नारियल+फेनी
बुद्धभगवान	बुद्ध+भगवान
महिलास्पर्धा	महिला+स्पर्धा
ट्रकचालकों	ट्रक+चालकों
सर्पनौकाओं	सर्प+नौकाओं
सीमेंटरोड	सीमेंट+रोड
संचारसाधनों	संचार+साधनों
गुजरातप्रांत	गुजरात+प्रांत
